scientificName,subgenus
Equisetum ×  alsaticum (H. P. Fuchs & Geissert) G. Phil. ex Lubienski & Bennert,
Equisetum ×  ascendens Lubienski & Bennert,
Equisetum ×  bowmanii C. N. Page,Equisetum
Equisetum ×  dycei C. N. Page,Equisetum
Equisetum ×  ferrissii Clute,Hippochaete
Equisetum ×  font-queri Rothm.,Equisetum
Equisetum ×  geissertii Lubienski & Bennert,
Equisetum ×  haukeanum Mickel & A. R. Sm.,
Equisetum ×  hybridum Huter,
Equisetum ×  lapponicum Lubienski & Dörken,
Equisetum ×  litorale Kühlew. ex Rupr.,Equisetum
Equisetum ×  lofotense Lubienski,
Equisetum ×  mchaffieae C. N. Page,Equisetum
Equisetum ×  meridionale (Milde) Chiov.,
Equisetum ×  mildeanum Rothm.,Equisetum
Equisetum ×  montellii Hiitonen,
Equisetum ×  moorei Newman,Hippochaete
Equisetum ×  naegelianum W. Koch ex Rothm.,
Equisetum ×  robertsii Dines,Equisetum
Equisetum ×  rothmaleri C. Page,Equisetum
Equisetum ×  schaffneri Milde,Hippochaete
Equisetum ×  sergijevskianum C. N. Page & Gureeva,
Equisetum ×  wilmottii C. N. Page,Equisetum
Equisetum arvense L.,Equisetum
Equisetum arvense subsp. arvense,Equisetum
Equisetum arvense subsp. diffusum (D. Don) Fraser-Jenk.,Equisetum
Equisetum bogotense Kunth,Paramochaete
Equisetum fluviatile L.,Equisetum
Equisetum giganteum L.,Hippochaete
Equisetum hyemale L.,Hippochaete
Equisetum hyemale subsp. affine (Engelm.) Calder & Roy L. Taylor,Hippochaete
Equisetum hyemale subsp. hyemale,Hippochaete
Equisetum laevigatum A. Braun,Hippochaete
Equisetum myriochaetum Cham. & Schltdl.,Hippochaete
Equisetum nelsonii (A. A. Eaton) J. H. Schaffn.,Hippochaete
Equisetum palustre L.,Equisetum
Equisetum pratense Ehrh.,Equisetum
Equisetum ramosissimum Desf.,Hippochaete
Equisetum scirpoides Michx.,Hippochaete
Equisetum sylvaticum L.,Equisetum
Equisetum telmateia Ehrh.,Equisetum
Equisetum telmateia subsp. braunii (Milde) Hauke,Equisetum
Equisetum telmateia subsp. telmateia,Equisetum
Equisetum trachyodon (A. Braun) Koch,Hippochaete
Equisetum variegatum Schleich.,Hippochaete
Equisetum variegatum subsp. alaskanum (A. A. Eaton) Hultén,Hippochaete
Equisetum variegatum subsp. variegatum,Hippochaete
Equisetum diffusum D.Don,Equisetum
Equisetum braunii Milde,Equisetum
