group,species,accession
algae,Zygnema circumcarinatum,AY958086
bryos,Physcomitrella patens,KY126308
bryos,Marchantia polymorpha,LC192146
bryos,Anthoceros formosae,AB086179
lycophytes,Isoetes virginica,MH549641
lycophytes,Lycopodium clavatum,MH549642
lycophytes,Selaginella moellendorffii,HM173080
Cupressales,Sciadopitys verticillata,AP017299
Ginkgo,Ginkgo biloba,KP099648
Austrobaileyales,Kadsura longipedunculata,MH535482
Nymphaeales,Trithuria inconspicua,HE963749
Amborella,Amborella trichopoda,AJ506156
Monocots,Acorus calamus,AJ879453
Magnolids,Magnolia tripetala,KJ408574
Ranunculids,Lamprocapnos spectabilis,MG873498
Caryophyllales,Plumbago auriculata,MH286308
Asterids,Nicotiana tabacum,Z00044
Saxifragales,Liquidambar formosana,KC588388
Core rosids,Sorbus torminalis,KY457242
