class,order,suborder,family,subfamily,genus,notes,nothogenus
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Lateristachys,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Lycopodiella,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Palhinhaea,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodielloideae,Pseudolycopodiella,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Austrolycopodium,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Dendrolycopodium,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Diphasiastrum,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Diphasium,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Lycopodiastrum,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Lycopodium,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Pseudodiphasium,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Pseudolycopodium,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Lycopodioideae,Spinulum,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Huperzioideae,Huperzia,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Huperzioideae,Phlegmariurus,original PPGI 2016,no
Lycopodiopsida,Lycopodiales,NA,Lycopodiaceae,Huperzioideae,Phylloglossum,original PPGI 2016,no
Lycopodiopsida,Isoëtales,NA,Isoëtaceae,NA,Isoëtes,original PPGI 2016,no
Lycopodiopsida,Selaginellales,NA,Selaginellaceae,NA,Selaginella,original PPGI 2016,no
Polypodiopsida,Equisetales,NA,Equisetaceae,NA,Equisetum,original PPGI 2016,no
Polypodiopsida,Psilotales,NA,Psilotaceae,NA,Psilotum,original PPGI 2016,no
Polypodiopsida,Psilotales,NA,Psilotaceae,NA,Tmesipteris,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Helminthostachyoideae,Helminthostachys,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Mankyuoideae,Mankyua,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Ophioglossoideae,Cheiroglossa,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Ophioglossoideae,Ophioderma,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Ophioglossoideae,Ophioglossum,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Ophioglossoideae,Rhizoglossum,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Botrychium,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Botrypus,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Japanobotrychium,original PPGI 2016,no
Polypodiopsida,Ophioglossales,NA,Ophioglossaceae,Botrychioideae,Sceptridium,original PPGI 2016,no
Polypodiopsida,Marattiales,NA,Marattiaceae,NA,Angiopteris,original PPGI 2016,no
Polypodiopsida,Marattiales,NA,Marattiaceae,NA,Christensenia,original PPGI 2016,no
Polypodiopsida,Marattiales,NA,Marattiaceae,NA,Danaea,original PPGI 2016,no
Polypodiopsida,Marattiales,NA,Marattiaceae,NA,Eupodium,original PPGI 2016,no
Polypodiopsida,Marattiales,NA,Marattiaceae,NA,Marattia,original PPGI 2016,no
Polypodiopsida,Marattiales,NA,Marattiaceae,NA,Ptisana,original PPGI 2016,no
Polypodiopsida,Osmundales,NA,Osmundaceae,NA,Claytosmunda,original PPGI 2016,no
Polypodiopsida,Osmundales,NA,Osmundaceae,NA,Leptopteris,original PPGI 2016,no
Polypodiopsida,Osmundales,NA,Osmundaceae,NA,Osmunda,original PPGI 2016,no
Polypodiopsida,Osmundales,NA,Osmundaceae,NA,Osmundastrum,original PPGI 2016,no
Polypodiopsida,Osmundales,NA,Osmundaceae,NA,Plenasium,original PPGI 2016,no
Polypodiopsida,Osmundales,NA,Osmundaceae,NA,Todea,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Abrodictyum,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Callistopteris,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Cephalomanes,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Crepidomanes,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Didymoglossum,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Polyphlebium,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Trichomanes,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Trichomanoideae,Vandenboschia,original PPGI 2016,no
Polypodiopsida,Hymenophyllales,NA,Hymenophyllaceae,Hymenophylloideae,Hymenophyllum,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Matoniaceae,NA,Matonia,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Matoniaceae,NA,Phanerosorus,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Dipteridaceae,NA,Cheiropleuria,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Dipteridaceae,NA,Dipteris,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Gleicheniaceae,NA,Dicranopteris,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Gleicheniaceae,NA,Diplopterygium,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Gleicheniaceae,NA,Gleichenella,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Gleicheniaceae,NA,Gleichenia,original PPGI 2016,no
Polypodiopsida,Gleicheniales,NA,Gleicheniaceae,NA,Sticherus,original PPGI 2016,no
