query,match,comments
Adiantum comorense (Tardieu) Verdc.,Adiantum comoroense (Tardieu) Verdc.,NA
Adiantum dentatum A.H.Wang & F.G.Wang & F.W.Xing,"Adiantum dentatum A.H.Wang, F.G.Wang & F.W.Xing",NA
Adiantum madagascariense H.Rosend.,Adiantum madagascariense Rosendahl,NA
Adiantum malesianum J.Ghatak,Adiantum malesianum Ghatak,NA
"Adiantum mynssenae J.Prado, nom. nov.",Adiantum mynsseniae J.Prado,NA
Adiantum obovatum A.H.Wang & F.G.Wang & F.W.Xing,"Adiantum obovatum A.H.Wang, F.G.Wang & F.W.Xing",NA
Adiantum orbignyanum Mett.,Adiantum orbignyanum Mett.; Kuhn,NA
Adiantum tracyi C.C.Hall ex W.H.Wagner,Adiantum × tracyi C.C.Hall ex W.H.Wagner,NA
Aglaomorpha x leporella (K.I.Goebel) C.Chr.,Aglaomorpha leporella (K.I.Goebel) C.Chr.,NA
Allantodia okudairai (Makino) Ching,Allantodia okudairae (Makino) Ching,NA
"Alsophila orientalis (Kunze) R.M.Tryon, q1970",Alsophila orientalis (Kunze) R.M.Tryon,NA
Alsophila weidenbrueckiae Lehnert,Alsophila weidenbrueckii Lehnert,NA
"Amauropelta balbisii var. longipilosa (C.Chr.) C.Sanchez, Alvarez, O. & Caluff","Amauropelta balbisii var. longipilosa (C.Chr.) C.Sánchez, O.Alvarez & Caluff",NA
Anemia caffrorum (L.) Christenh.,Anemia afrorum (L.) Christenh.,NA
Anemia collina Raddi,Anemia collina Sm.,NA
Anemia imbricata J.W.Sturm,Anemia imbricata Sturm,NA
Anemia lanuginosa Bongard,Anemia lanuginosa Bongard; Sturm,NA
Anemia muenchii Christ,Anemia munchii Christ,NA
Anemia nervosa Pohl,Anemia nervosa Pohl; Sturm,NA
Anemia phyllitidis var. phyllitidis,Anemia phyllitidis (L.) Sw.,NA
Anemia salvadorensis Mickel & Seiler,Anemia salvadorensis Mickel & R.L.Seiler,NA
Anemia tenera Pohl,Anemia tenera Pohl; Sturm,NA
Angiopteris marchionica E.D.Br.,Angiopteris marchionica E.Brown,NA
Angiopteris rapensis E.D.Br.,Angiopteris rapensis E.Brown,NA
"Anisocampium cuspidatum (Bedd.) Y.C.Liu, W.L.Chiou & M.Kato","Anisocampium cuspidatum (Bedd.) Yea C.Liu, W.L.Chiou & M.Kato",NA
"Anisocampium niponicum (Mett.) Y.C.Liu, W.L.Chiou & M.Kato","Anisocampium niponicum (Mett.) Yea C.Liu, W.L.Chiou & M.Kato",NA
Antrophyum sessilifolium (Cav.) Spreng.,Antrophyum sessilifolium (Cav.) Spr.,NA
Arachniodes fujianensis Ching,Arachniodes fujiangensis Ching,NA
Arachniodes simplicior var. simplicior,Arachniodes simplicior (Makino) Ohwi,NA
"Arachniodes vietnamensis Liang Zhang, N.T.Lu & T.T.Nguyen","Arachniodes vietnamensis Liang Zhang, N.T.Lu & T.Trung Nguyen",NA
Arachniodes ziyunshanensis Y.T.Hsieh,Arachniodes ziyunshanensis Y.T.Xie,NA
"Arthropteris paucivenia (C.Chr.) H.M.Liu, Hovenkamp & H.Schneid.","Arthropteris paucivenia (C.Chr.) Hong M.Liu, Hovenkamp & H.Schneid.",NA
Asplenium actinopteroides Peter,Asplenium actiniopteroides Peter,NA
Asplenium anceps R.Br.,Asplenium anceps Sol. ex Lowe,NA
Asplenium billotii F.W.Schultz,Asplenium billotii F.Schultz,NA
Asplenium bourgaei Boiss.,Asplenium bourgaei Boiss.; Milde,NA
Asplenium ceii Pic.Serm.,Asplenium ceii Pic.Ser.,NA
Asplenium christii Hieron.,Asplenium christii Hier.,NA
Asplenium cuneifolium subsp. cuneifolium,Asplenium cuneifolium subsp. cuneifolium,NA
Asplenium dalhousiae Hook.,Asplenium dalhousieae Hook.,NA
Asplenium emarginatum P.Beauv.,Asplenium emarginatum Pal.,NA
